make_slug,make_name,model_name,source
dodge,Dodge,Caravan/Grand Caravan,snapshot
dodge,Dodge,Challenger,snapshot
dodge,Dodge,Charger,snapshot
dodge,Dodge,Colt,snapshot
dodge,Dodge,Conquest,snapshot
dodge,Dodge,D-Series,snapshot
dodge,Dodge,D50,snapshot
dodge,Dodge,Dakota,snapshot
dodge,Dodge,Dart,snapshot
dodge,Dodge,Daytona,snapshot
dodge,Dodge,DIPLOMAT,snapshot
dodge,Dodge,Durango,snapshot
dodge,Dodge,Dynasty,snapshot
dodge,Dodge,Grand Caravan,snapshot
dodge,Dodge,Hornet,snapshot
dodge,Dodge,Intrepid,snapshot
dodge,Dodge,Journey,snapshot
dodge,Dodge,LANCER,snapshot
dodge,Dodge,Magnum,snapshot
dodge,Dodge,Mini Ram,snapshot
dodge,Dodge,Mirada,snapshot
dodge,Dodge,Monaco,snapshot
dodge,Dodge,Neon,snapshot
dodge,Dodge,Nitro,snapshot
dodge,Dodge,OMNI,snapshot
dodge,Dodge,Raider,snapshot
dodge,Dodge,Ram,snapshot
dodge,Dodge,RAM 50,snapshot
dodge,Dodge,Ram Chassis Cab,snapshot
dodge,Dodge,Ram Van,snapshot
dodge,Dodge,Ram Wagon,snapshot
dodge,Dodge,Ramcharger,snapshot
dodge,Dodge,Rampage,snapshot
dodge,Dodge,RD200 / RD250,snapshot
dodge,Dodge,Royal Mini Ram Van,snapshot
dodge,Dodge,Shadow,snapshot
dodge,Dodge,Shelby Charger,snapshot
dodge,Dodge,Spirit,snapshot
dodge,Dodge,Sprinter,snapshot
dodge,Dodge,ST.REGIS,snapshot
dodge,Dodge,Stealth,snapshot
dodge,Dodge,Stratus,snapshot
dodge,Dodge,Viper,snapshot
dodge,Dodge,W-Series,snapshot
ferrari,Ferrari,12Cilindri,snapshot
ferrari,Ferrari,296,snapshot
ferrari,Ferrari,296 Speciale,snapshot
ferrari,Ferrari,296 Speciale A,snapshot
ferrari,Ferrari,3.2 Mondial,snapshot
ferrari,Ferrari,308 Convertible,snapshot
ferrari,Ferrari,308GTB,snapshot
ferrari,Ferrari,308GTB Quattrovalvole,snapshot
ferrari,Ferrari,308GTBi,snapshot
ferrari,Ferrari,308GTS,snapshot
ferrari,Ferrari,308GTS Quattrovalvole,snapshot
ferrari,Ferrari,308GTSi,snapshot
ferrari,Ferrari,328,snapshot
ferrari,Ferrari,328 GTB,snapshot
ferrari,Ferrari,328 GTS,snapshot
ferrari,Ferrari,348 Spider,snapshot
ferrari,Ferrari,348 tb,snapshot
ferrari,Ferrari,348 ts,snapshot
ferrari,Ferrari,355 Berlinetta,snapshot
ferrari,Ferrari,355 GTS,snapshot
ferrari,Ferrari,355 Spider,snapshot
ferrari,Ferrari,360,snapshot
ferrari,Ferrari,430,snapshot
ferrari,Ferrari,456,snapshot
ferrari,Ferrari,456M,snapshot
ferrari,Ferrari,458,snapshot
ferrari,Ferrari,458 Italia,snapshot
ferrari,Ferrari,488,snapshot
ferrari,Ferrari,512 TR,snapshot
ferrari,Ferrari,550 Barchetta,snapshot
ferrari,Ferrari,550 Maranello,snapshot
ferrari,Ferrari,575M Maranello,snapshot
ferrari,Ferrari,599,snapshot
ferrari,Ferrari,599 GTB Fiorano,snapshot
ferrari,Ferrari,612 Scaglietti,snapshot
ferrari,Ferrari,812,snapshot
ferrari,Ferrari,849 Testarossa,snapshot
ferrari,Ferrari,Amalfi,snapshot
ferrari,Ferrari,California,snapshot
ferrari,Ferrari,California T,snapshot
ferrari,Ferrari,Challenge Stradale,snapshot
ferrari,Ferrari,Daytona SP3,snapshot
ferrari,Ferrari,Enzo,snapshot
ferrari,Ferrari,F12 Berlinetta,snapshot
ferrari,Ferrari,F12 Special Series,snapshot
ferrari,Ferrari,F12 tdf (Tour de France),snapshot
ferrari,Ferrari,F355,snapshot
ferrari,Ferrari,F40,snapshot
ferrari,Ferrari,F430,snapshot
ferrari,Ferrari,F50,snapshot
ferrari,Ferrari,F60 America,snapshot
ferrari,Ferrari,F8,snapshot
ferrari,Ferrari,F80,snapshot
ferrari,Ferrari,FF,snapshot
ferrari,Ferrari,GTC4Lusso,snapshot
ferrari,Ferrari,La Ferrari,snapshot
ferrari,Ferrari,Luce,snapshot
ferrari,Ferrari,Mondial 8,snapshot
ferrari,Ferrari,Mondial T,snapshot
ferrari,Ferrari,Monza SP1/SP2,snapshot
ferrari,Ferrari,Portofino,snapshot
ferrari,Ferrari,Portofino M,snapshot
ferrari,Ferrari,Purosangue,snapshot
ferrari,Ferrari,Roma,snapshot
ferrari,Ferrari,SF90,snapshot
ferrari,Ferrari,Testarossa,snapshot
fiat,Fiat,124 Spider,snapshot
fiat,Fiat,500,snapshot
fiat,Fiat,500e,snapshot
fiat,Fiat,500L,snapshot
fiat,Fiat,500X,snapshot
fiat,Fiat,Brava,snapshot
fiat,Fiat,Ducato,snapshot
fiat,Fiat,Freemont,snapshot
fiat,Fiat,Spider 2000,snapshot
fiat,Fiat,Strada,snapshot
fiat,Fiat,X 1/9,snapshot
fisker,Fisker,Karma,snapshot
fisker,Fisker,Nina,snapshot
fisker,Fisker,Ocean,snapshot
ford,Ford,'34,snapshot
ford,Ford,A8513,snapshot
ford,Ford,A9513,snapshot
ford,Ford,A9522,snapshot
ford,Ford,Aerostar,snapshot
ford,Ford,Aspire,snapshot
ford,Ford,AT8513,snapshot
ford,Ford,AT9513,snapshot
ford,Ford,AT9522,snapshot
ford,Ford,B-750,snapshot
ford,Ford,B600,snapshot
ford,Ford,B6000,snapshot
ford,Ford,B700,snapshot
ford,Ford,B7000,snapshot
ford,Ford,B800,snapshot
ford,Ford,Bronco,snapshot
ford,Ford,Bronco II,snapshot
ford,Ford,Bronco Sport,snapshot
ford,Ford,C-Max,snapshot
ford,Ford,C600,snapshot
ford,Ford,C700,snapshot
ford,Ford,C7000,snapshot
ford,Ford,C800,snapshot
ford,Ford,C8000,snapshot
ford,Ford,CF6000,snapshot
ford,Ford,CF7000,snapshot
ford,Ford,CF8000,snapshot
ford,Ford,CFT8000,snapshot
ford,Ford,CL9000,snapshot
ford,Ford,CLT9000,snapshot
ford,Ford,Contour,snapshot
ford,Ford,Courier,snapshot
ford,Ford,Crown Victoria,snapshot
ford,Ford,CT800,snapshot
ford,Ford,CT8000,snapshot
ford,Ford,E-100,snapshot
ford,Ford,E-150,snapshot
ford,Ford,E-250,snapshot
ford,Ford,E-350,snapshot
ford,Ford,E-450,snapshot
ford,Ford,E-550,snapshot
ford,Ford,Ecosport,snapshot
ford,Ford,Edge,snapshot
ford,Ford,Escape,snapshot
ford,Ford,Escort,snapshot
ford,Ford,Excursion,snapshot
ford,Ford,Expedition,snapshot
ford,Ford,Expedition EL,snapshot
ford,Ford,Expedition MAX,snapshot
ford,Ford,Explorer,snapshot
ford,Ford,Explorer Sport,snapshot
ford,Ford,Explorer Sport Trac,snapshot
ford,Ford,F-100,snapshot
ford,Ford,F-150,snapshot
ford,Ford,F-150 Heritage,snapshot
ford,Ford,F-250,snapshot
ford,Ford,F-350,snapshot
ford,Ford,F-450,snapshot
ford,Ford,F-550,snapshot
ford,Ford,F-590,snapshot
ford,Ford,F-600,snapshot
ford,Ford,F-650,snapshot
ford,Ford,F-700,snapshot
ford,Ford,F-750,snapshot
ford,Ford,F-800,snapshot
ford,Ford,F-Super Duty,snapshot
ford,Ford,F6000,snapshot
ford,Ford,F7000,snapshot
ford,Ford,F8000,snapshot
ford,Ford,Fairmont,snapshot
ford,Ford,Festiva,snapshot
ford,Ford,Fiesta,snapshot
ford,Ford,Five Hundred,snapshot
ford,Ford,Flex,snapshot
ford,Ford,Focus,snapshot
ford,Ford,Freestar,snapshot
ford,Ford,Freestyle,snapshot
ford,Ford,FT800,snapshot
ford,Ford,FT8000,snapshot
ford,Ford,FT900,snapshot
ford,Ford,Fusion,snapshot
ford,Ford,Granada,snapshot
ford,Ford,GT,snapshot
ford,Ford,GT MKII,snapshot
ford,Ford,L800,snapshot
ford,Ford,L8000,snapshot
ford,Ford,L8501,snapshot
ford,Ford,L8511,snapshot
ford,Ford,L8513,snapshot
ford,Ford,L9000,snapshot
ford,Ford,L9501,snapshot
ford,Ford,L9511,snapshot
ford,Ford,L9513,snapshot
ford,Ford,L9522,snapshot
ford,Ford,LA8000,snapshot
ford,Ford,LA9000,snapshot
ford,Ford,Laser,snapshot
ford,Ford,LL9000,snapshot
ford,Ford,LLA9000,snapshot
ford,Ford,LLS9000,snapshot
ford,Ford,LN600,snapshot
ford,Ford,LN700,snapshot
ford,Ford,LN7000,snapshot
ford,Ford,LN800,snapshot
ford,Ford,LN8000,snapshot
ford,Ford,LN9000,snapshot
ford,Ford,LNT800,snapshot
ford,Ford,LNT8000,snapshot
ford,Ford,LNT9000,snapshot
ford,Ford,LS8000,snapshot
ford,Ford,LS9000,snapshot
ford,Ford,LT800,snapshot
ford,Ford,LT8000,snapshot
ford,Ford,LT8501,snapshot
ford,Ford,LT8511,snapshot
ford,Ford,LT8513,snapshot
